NoteNumber,ELKit 1,ELKit 2,Standard Kit 1,,Standard Kit 2,Hit Kit,Room Kit,Rock Kit,Electro Kit,Analog Kit,,Dance Kit,Jazz Kit,Brush Kit,Symphony Kit,China Mix Kit,Live!Std Kit,,Live!Std+P Kit,Live!Funk Kit,Live!Funk+P Kit,Live!Brush Kit,Live!Brush+P Kit,Live!Studio Kit,,Live!AcousticKit,Live!Power Kit 1,Live!Power Kit 2,Live!Rock Kit,Live!Real Drums,Live!RealBrushes,,Analog T8 Kit,Analog T9 Kit,House Kit,HipHop Kit,Drum Machine,Break Kit,SFX Kit 1,SFX Kit 2,Live! SFX Kit 1,Live! SFX Kit 2,Noise Kit,VocalEffectsKit,,GospelAdLibs,Wonderland Kit,PopLatin Kit,Cuban Kit,Arabic Kit,Turkish Kit,China Kit,OrchestraPerc
50,Tambourine,Tambourine,High Tom,,High Tom,Hybrid Tom 6,Tom Room 6,Tom Rock 6,Tom Electro 6,Tom Analog 6,,Tom Dance 6,High Tom,Tom Brush 6,High Tom,High Tom,High Tom,,High Tom,High Tom,High Tom,Tom Brush 6,Tom Brush 6,High Tom,,Tom Acoustic 6,Tom Power 6,Tom Power 6,Tom Rock 6,Tom Real 6,TomRealBrushes 6,,Tom T8 7,Tom T9 6,Tom T9 6,Shaker 2,Conga T8 1,Tom Break 6,,,,,,Male Kh 2 *,,Aha! *,Triangle Open,,,High Tom,Hollo Dum,Qing,Gong
51,Triangle Open,Triangle Open,Ride Cymbal 1,,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Hand Cymbal S,Ride Cymbal 1,Ride Cymbal 1,,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,,RideCymbal Aco 1,RideCymbal Aco 1,RideCymbal Aco 1,RideCymbal Aco 1,RideCymbalReal 1,Ride Cymbal RB,,Ride Cymbal T9,Ride Cymbal T9,Ride Cymbal T9,ScratchBDForward,Ride Cymbal T9,Ride Cymbal 3,,,,,,Female Kh 2 *,,Oh Yeah *,Wood Block H,,,Ride Cymbal 1,Kasik,Finger Bell,Ride Cymbal Tip
52,Castanet,Castanet,Chinese Cymbal,,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,China Cymbal,Chinese Cymbal,,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,,China Cymbal Aco,China Cymbal Aco,China Cymbal Aco,China Cymbal Aco,ChinaCymbal Real,ChinaCymbal RB,,China Cymbal 2,China Cymbal 2,Crash Cymbal 4,ScratchBDReverse,Conga T8 2,China Cymbal 2,Flute Key Click *,CarEngn Ignition *,Flute Key Click *,CarEngn Ignition *,,Male Ph 2 *,,Yayayayayah *,Hand Clap,,,Crash Cymbal 2,Kasik Flam,Luo Big,China Cymbal
53,Claves,Claves,Ride Cymbal Cup,,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,,RideCymbalCupAco,RideCymbalCupAco,RideCymbalCupAco,RideCymbalCupAco,RideCym Cup Real,Ride Cup RB 1,,RideCymbal Cup 2,RideCymbal Cup 2,RideCymbal Cup 2,Kick HipHop 2,Analog Click,RideCymbal Cup 2,,Car Tires Squeal *,,Car Tires Squeal *,,Female Ph 2 *,,Put Your HandsÅc*,Jingle Bells,Paila L,Paila L,Duhulla Dom,BDarbuka TekDead,Muyu Low,Ride Cymbal Cup
54,,,Tambourine,,Tambourine,Tambourine Light,Tambourine,Tambourine,Tambourine,Tambourine,,Tambourine Anlg,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine,,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine,,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine,,Tambourine RX5,Tambourine RX5,Tambourine Hit,SnareHipHopRim 2,Claves T8 1,Tambourine 1 Hit,,Car Passing *,,Car Passing *,,Male Th 2 *,,C'mon Now *,Bell Tree,Timbale H,Timbale H,Tambourine,BDarbuka TekFlam,Muyu Mid-Low,Tambourine
55,Cabasa,Cabasa,Splash Cymbal,,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,,SplashCymbal Aco,SplashCymbal Aco,SplashCymbal Aco,SplashCymbal Aco,SplashCymbalReal,Splash Cymbal RB,,Splash Cymbal,Splash Cymbal 2,Splash Cymbal 2,HipHop Clap 2,Maracas T8,Splash Cymbal 2,,Car Crash *,,Car Crash *,,Female Th 2 *,,Heeey *,Alarm Bell *,,,Duhulla Tak,BassDarbuka Teke,Muyu Mid,Splash Cymbal
56,,,Cowbell,,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell Analog,,Cowbell Dance,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,,Cowbell T8,Cowbell 1,Cowbell 1,HipHop Snap 1,TambourineAna CR,Cowbell 1,,Siren *,,Siren 2 *,,Male Ha 4 *,,Everybody Now *,Train *,,,Cowbell,BDarbukaTekeFin1,Muyu High,Cowbell
57,Finger Snap,Finger Snap,Crash Cymbal 2,,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Hand Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,,CrashCymbalAco 2,CrashCymbalAco 2,CrashCymbalAco 2,CrashCymbalAco 2,CrashCymbalReal2,CrashCymbal RB 2,,Crash Cymbal 4,Crash Cymbal 4,Crash Cymbal 1,Snare HipHop 3,Analog Shaker,Crash Cymbal 2,,Train *,,Train 2 *,,Female Ha 2 *,,ClapYourHandsÅc*,Horn 1 *,,,Duhulla Sak,BDarbukaTekeFin2,Nanbangzi Roll *,Jingle Ring
58,,,Vibraslap,,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,,Vibraslap Analog,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,,Vibraslap,Cowbell T8,Cowbell T8,Electric Clap 2,Cowbell T8,Cowbell RX11,,Jet Plane *,,Jet Plane 2 *,,Male Ha 5 *,,WithAllYourSoul *,Horn 2,,,Claves,Bass Darbuka Tek,Nanbangzi,Castanet Roll *
59,Hand Claps,Hand Claps,Ride Cymbal 2,,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,,Ride Analog,Ride Cymbal 2,Ride Cymbal 2,Hand Cymbal 2 S,Ride Cymbal 2,Ride Cymbal 2,,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,,RideCymbal Aco 2,RideCymbal Aco 2,RideCymbal Aco 2,RideCymbal Aco 2,RideCymbalReal 2,Ride Cup RB 2,,Ride Cymbal 3,Ride Cymbal 3,Ride Cymbal 3,Kick Hip Deep,CowbellAnalog CR,Ride Cymbal 2,,Starship *,,Starship *,,Male Ha 6 *,,Stand Up OnÅc*,Siren *,Paila H,Paila H,Doff Dom,BassDarbukaSlap1,Bangu,Table Castanet 
60,Crash Cymbal 2,Wind Chime Down,Bongo H,,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,,Bongo Analog H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,,Conga T8 5,Conga T8 5,Bongo H Open 1 F,Kick HipHop 3,Snare T8 1,Bongo H,,Burst *,,Burst *,,Male Bh 3 *,,Uhh Yeah *,CarEngn Ignition *,Cowbell Top,Cowbell Top,Katem Dom,BassDarbukaSlap2,Ban,Bongo H Stick
61,Hi-Hat Closed,Agogo High,Bongo L,,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,,Bongo Analog L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,,Conga T8 4,Conga T8 4,Bongo L Open 3 F,SnareHipHopRim 3,Snare T8 2,Bongo L,,Roller Coaster *,,Roller Coaster *,,Female Bh 3 *,,Aaoh *,Car Crash *,Cowbell 1,,Katem Tak,Bass Darbuka Dum,Bangu Roll *,Bongo L Stick
62,Crash Cymbal 1,Wind Chime Up,Conga H Mute,,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga Analog H,,Conga Analog H,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,,Conga T8 3,Conga Tip,Conga H Tip,Snare HipHop 5,Snare T8 3,Conga H Tip,,Submarine *,,Submarine *,,Male Kh 3 *,,Come On! *,Helicopter *,Cowbell 2,,Katem Sak,DarbukaRollClose *,ChineseOperaVo 1 *,Conga H Stick
63,Hi-Hat Open,Agogo Low,Conga H Open,,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga Analog M,,Conga Analog M,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,,Conga T8 2,Conga Open Slap,Conga H SlapOpen,Electric Clap 1,Snare Analog CR,Conga H OpenSlap,,,,,,Female Kh 3 *,,Yeah! *,Starship *,Cowbell 3,,Katem Tak,Darbuka RollOpen *,ChineseOperaVo 2 *,Conga L Stick
64,Crash Cym Mute,Bells,Conga L,,Conga L,Conga L,Conga L,Conga L,Conga L,Conga Analog L,,Conga Analog L,Conga L,Conga L,Conga L,Conga L,Conga L,,Conga L,Conga L,Conga L,Conga L,Conga L,Conga L,,Conga L,Conga L,Conga L,Conga L,Conga L,Conga L,,Conga T8 1,Conga Open,Conga H Open 2,Handbell H,Snare Jungle 1,Conga H Open,,,,,,Male Ph 3 *,,Alright Now! *,Sheep *,Guiro Short,Guiro Short,Doff Tak,DarbukaTekeFlamD,ChineseOperaVo 3 *,Whip
65,Ride Cymbal 2,Cowbell 4,Timbale H,,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,,Timbale H,Timbale H,Timbale H,Kick HipHop 4,Snare Drum&Bass2,Bongo 2 H,,,,,,Female Ph 3 *,,One *,Goat *,Guiro Long *,Guiro Long *,Tabla Dom,Darbuka Tek Dead,Yunluo F,Rotating Tom 1
66,Hi-Hat Pedal 2,Shaker,Timbale L,,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,,Timbale L,Timbale L,Timbale L,HipHop Clap 3,Snare Hip 1,Bongo 2 L,,,,,,Male Th 3 *,,Two *,Oxen *,Metal Guiro Short,,Tabla Tak 1,DarbukaTekDamped,Yunluo F#,Tubular Bell L
67,Ride Cymbal 1,Cowbell 3,Agogo H,,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,,Agogo H,Agogo H,Agogo H,Agogo H,Dagu Mute,Agogo H,,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,,Glass H,Analog Click,Agogo H,HipHop Snap 2,Snare R&B 1,Conga Open,,,,,,Female Th 3 *,,Three *,Whinny *,Metal Guiro Long *,,Tabla Tik,Darbuka TekeFlam,Yunluo G,Rotating Tom 2
68,Hi-Hat Pedal 1,Guiro Short,Agogo L,,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,,Agogo L,Agogo L,Agogo L,Agogo L,Zhongcha Mute,Agogo L,,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,,Glass L,Conga T8 1,Agogo L,SnareHipHopRim 5,Snare R&B 2,Agogo L,Shower *,Laugh *,Shower 2 *,Laugh *,,Male Bh 4 *,,Four *,Horse *,Tambourine,Tambourine,Tabla Tak 2,Darbuka Teke,Yunluo G#,Tubular Bell M
69,Ride Cymbal Cup,Cowbell 2,Cabasa,,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,,Cabasa,Cabasa,Cabasa,Cabasa,Dagu Heavy,Cabasa,,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,,Cabasa,Cabasa,Cabasa,HipHop flex 1,Snare Hip 1,Cabasa,Thunder *,Scream *,Thunder 2 *,Scream 2 *,,Female Bh 4 *,,One! *,Lion *,Tambourim Open,,Tabla Sak,DarbukaTekeFin 1,Yunluo A,Rotating Tom 3
70,,Guiro Long,Maracas,,Maracas,Maracas,Maracas,Maracas,Maracas,Maracas 2,,Maracas 2,Maracas,Maracas,Maracas,Zhongcha Open,Maracas,,Maracas,Maracas,Maracas,Maracas,Maracas,Maracas,,Maracas,Maracas,Maracas,Maracas,Maracas,Maracas,,Maracas T8,Maracas Slur 2,Maracas Slur 2,HipHop flex 2,Snare Wood,Maracas Slur,Wind *,Punch *,Wind 2 *,Punch 2 *,,Male Kh 4 *,,Two! *,Dog,Tambourim Mute,,Tabla Roll Edge *,DarbukaTekeFin 2,Yunluo A#,Tubular Bell H
71,Cym Brush Shot,Cowbell 1,Samba Whistle H *,,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Paigu Middle,Samba Whistle H *,,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,Samba Whistle H *,,Fx Gun 2 *,Fx Gun 2 *,Vox Drum L,Shaker 2,Snare Timbre,Timbale H,Stream *,Heart Beat *,Stream 2 *,Heart Beat *,,Female Kh 4 *,,Three! *,Cat *,Tambourim Tip,,Tabla Flam,Darbuka Tek 1,Yunluo B,Rotating Tom 4
72,Cymbal March,Taiko 2,Samba Whistle L *,,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Paigu Low,Samba Whistle L *,,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,Samba Whistle L *,,Fx Gun 1 *,Fx Gun 1 *,Vox Drum H,Kick HipHop 5,Hi-HatClosedT8 1,Timbale L,Bubble *,Foot Steps *,Bubble 2 *,Foot Steps 2 *,,Male Ph 4 *,,Four! *,Hen *,Maracas,Maracas,Sagat 1,DarbukaTekeFin 3,Yunluo C,Rotating Tom 5
73,Analog HH Closed,Ohdaiko 2,Guiro Short,,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Xiaocha Mute,Guiro Short,,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,,Analog Shaker H *,Scratch H 3 *,Guiro Short,SnareHipHopRim 4,Hi-Hat Open T8 1,Scratch H 3 *,Feed *,,Feed *,,,Female Ph 4 *,,Five! *,Owl *,Shaker,Shaker,Tabel Dom,DarbukaTekeFin 4,Yunluo C#,Temple Block H
74,Orch Cymbal Roll,Taiko 1,Guiro Long *,,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Bangu,Guiro Long *,,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,Guiro Long *,,Analog Shaker L *,Scratch Down *,Guiro Long *,Snare HipHop 6,Hi-HatClosedT8 2,Scratch Down *,,,,,,Male Th 4 *,,Six! *,Insects,Cabasa,Cabasa,Sagat 3,Darbuka Tek 2,Yunluo D,Temple Block L
75,Analog HH Open,Ohdaiko 1,Claves,,Claves,Claves,Claves,Claves,Claves,Claves 2,,Claves 2,Claves,Claves,Claves,Xiaocha Open,Claves,,Claves,Claves,Claves,Claves,Claves,Claves,,Claves,Claves,Claves,Claves,Claves,Claves,,Claves T8,Hi Q 3,Claves,Snare HipHop 11,Hi-Hat Open T8 2,Claves,,,,,,Female Th 4 *,,Seven! *,Frog,Cuica Mute,,Tabel Tak,Darbuka Slap Med,Yunluo D#,Claves
76,Orch Cymbal,Ohtsuzumi 2,Wood Block H,,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,,Dance Perc 3,Wood Block H,Wood Block H,Wood Block H,Bangzi,Wood Block H,,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,,Hi Q 1,Hi Q 1,Wood Block H,Kick HipHop 10,Hi-Hat Pedal Aco,Wood Block H,,,,,,,,Eight! *,Tweet 1,Cuica Open,,Sagat 2,Darbuka Slap,Yunluo E,Wood Block H
77,Orch Cymbal Mute,Ohtsuzumi 1,Wood Block L,,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,,Dance Perc 4 *,Wood Block L,Wood Block L,Wood Block L,Muyu Low,Wood Block L,,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,,Hi Q 2,Hi Q 2,Wood Block L,Snare HipHop 7,Hi-HatClosed Aco,Wood Block L,,,,,,,,Clap! *,Tweet 2 *,Cowbell High 1,,Rik Dom,Darbuka Dum,Yunluo High F,Wood Block L
78,,Kakegoe 3,Cuica Mute,,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Scratch H 2,Scratch H 2,,Dance Breath 1,Cuica Mute,Cuica Mute,Cuica Mute,Zhongluo Mute,Cuica Mute,,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,,Scratch H 2,Scratch H 2,Cuica H,HipHop Clap 5,Hi-Hat Open Aco,Scratch H 2,,,,,,,,Gospel Clap 1 *,Cuckoo Clock *,Cowbell High 2,,Rik Tak 2,Bongo Tek Roll *,Yunluo High F#,Anveil
79,Tam-Tam,Kotsuzumi 4,Cuica Open,,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Scratch L 2,Scratch L 2,,Dance Breath 2 *,Cuica Open,Cuica Open,Cuica Open,Muyu Mid-Low,Cuica Open,,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Cuica Open,,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Cuica Open,,Scratch L 2,Scratch L 2,Cuica L,Conga H Tip,Hi-HatClosedLoFi,Scratch L 2,,,,,,,,Gospel Clap 2 *,Big Clock,Shekere,,Rik Finger 1,Bongo Flam,Yunluo High G,Triangle Roll *
80,,Kakegoe 2,Triangle Mute,,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Zhongluo Open,Triangle Mute,,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,,Triangle Mute,Triangle Mute,Triangle Mute,Conga H Heel,Hi-HatOpen Lo-Fi,Triangle Mute,,,,,,,,,Bell *,Shekere Tone,,Rik Tak 1,Bongo Tek Flam,Yunluo High G#,Triangle Mute
81,,Kotsuzumi 3,Triangle Open,,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Muyu Middle,Triangle Open,,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,,Triangle Open,Triangle Open,Triangle Open,Conga H Open,Hi-HatClosed Syn,Triangle Open,,,,,,,,,Telephone *,Triangle Mute,,Rik Finger 2,Bongo Tek,Yunluo High A,Triangle Open
82,,Kakegoe 1,Shaker,,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,,Shaker,Shaker,Shaker,Shaker,Xiaoluo Open,Shaker,,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,,Analog Shaker,Analog Shaker,Analog Shaker,Conga L Open 1,Hi-Hat Open Syn,Kick Break 3,,,,,,,,,Camera,Triangle Open,,Rik BrassTremolo *,Bongo Slap,Yunluo High A#,Bell Tree 
83,,Kotsuzumi 2,Jingle Bells,,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Muyu Mid-High,Jingle Bells,,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,,Sleigh Bells,Sleigh Bells,Sleigh Bells,Conga L Open 2,Analog Shaker 1,Kick Break 4,,,,,,,,,Gnaw,,,Rik Sak,Bongo Flam Hi,Yunluo High B,Sleigh Bells
84,,Kotsuzumi 1,Bell Tree,,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Muyu High,Bell Tree,,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,,Wind Chime,Wind Chime,Wind Chime,Wind Chime,Wind Chime,Wind Chime,,Wind Chime,Wind Chime,Wind Chime,Kick HipHop 8,Tambourine RX5 2,Kick Break 5 *,Dog *,Machine Gun *,Dog *,Machine Gun 2 *,,,,,Applause *,Wind Chime,,Rik Tik,Bongo Dum,Yunluo High C,Wind Chime
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snare Hip 1,Snare Piccolo,Snare Break Roll,HipHop Clap 6,Tambourine 1 Hit,Kick Break 6,Horse *,Laser Gun *,Horse *,Laser Gun *,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snare Hip 2,Snare T8 7,Noise Burst,Snare T8 1,Electric Cowbell,Kick Break 7,Bird Tweet *,Explosion *,Bird Tweet *,Explosion 2 *,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snare Hip Gate,SnareRckRollDist,Vox Bell,Snare T8 1 H,Conga T8 3,Hi-HatClosedBrk3,,Firework *,,Firework *,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snare Break 1,Snare Brush Mute,Snare R&B 1,HipHop Clap 7,ElectricTriangle,Snare Break 4,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kick Blip,Kick Blip Hard,Vox Alk,Tom T8 1,Claves T8 2,Snare Break 5,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snare Fx 1,Snare Jungle 1,Udu High,Hi-HatClosedT8 2,Analog Shaker 2,Snare Break 6,Ghost *,,Ghost *,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kick Fx Hammer,Kick Sustain,Filter Kick,Tom T8 2,Electric Clap 1,Snare Break 7,Maou *,,Maou *,,,,,,,,,,,,
